value,overlap_file_count,tag_assignment_count,attribution_assignment_count,section_count,sections
Suzanne de Dietrich,1,1,1,1,parish-occasions
Te Deum,1,1,1,1,parish-year
The Boys’ Prayer Book,1,1,1,1,parish-intercessory
The C.M.S. Prayer adapted,1,1,1,1,parish-occasions
"The Missionary Conference, 1894",1,2,1,1,parish-year
The Narrow Way,1,1,1,1,parish-year
The Prayer Manual,1,1,1,1,parish-year
The Royal Maundy,1,1,1,1,parish-year
The Splendour of God,1,2,1,1,parish-devotional
The Unfolding Year,1,1,1,1,parish-occasions
Thomas Aquinas,1,1,1,1,acna2019
Thomas Becon,1,1,1,1,parish-year
Thomas Wilson,1,3,1,2,parish-devotional;parish-year
Toc H Prayers,1,1,1,1,parish-intercessory
"Trinity College, Dublin",1,1,1,1,parish-devotional
"United Lutheran Church, U.S.A.",1,1,1,1,parish-year
United Society for Christian Literature,1,1,1,1,parish-intercessory
Uppingham School Prayers,1,1,1,1,parish-devotional
W. Charter Piggott,1,1,1,1,parish-intercessory
W. Hay Aitken,1,1,1,1,parish-occasions
W. L. Anderson,1,1,1,1,parish-supplementary
W. M. Clow,1,1,1,1,parish-year
W. Rigby Murray,1,1,1,1,parish-year
"War Prayers, 1940",1,1,1,1,parish-intercessory
When Two or Three,1,1,1,1,parish-intercessory
Wilfred B. Hornby,1,1,1,1,parish-year
Winchester Cathedral,1,1,1,1,parish-occasions
York Diocese,1,1,1,1,parish-devotional
"York Minster, 1547",1,1,1,1,parish-year
